,model_name,model,params,accuracy,precision,recall,f1_score,roc_auc,pr_auc,lift,accuracy_cv,precision_cv,recall_cv,f1_score_cv,roc_auc_cv,pr_auc_cv,lift_cv
0,LGB_Tune0,LightGBM,"LGBMClassifier(colsample_bytree=0.789453478290231, gamma=37.824530939163736,
               learning_rate=0.01565456848540161, max_depth=6,
               min_child_weight=11.39398330882743, n_estimators=80,
               random_state=42, reg_alpha=9.765784982987437,
               reg_lambda=8.936204136622948, subsample=0.8066223904381988,
               verbose=-1)",0.9675101654099719,0.0,0.0,0.0,0.7997258464565642,0.13149216196206268,,0.9685945519147257,0.0,0.0,0.0,0.802526862613297,0.13192091000237655,
1,LGB_Tune1,LightGBM,"LGBMClassifier(colsample_bytree=0.6876045723814304, gamma=35.12028593188927,
               learning_rate=0.043083218392070737, max_depth=9,
               min_child_weight=1.0705733972681386, n_estimators=63,
               random_state=42, reg_alpha=8.14739586408704,
               reg_lambda=1.8735914130489495, subsample=0.9640278804430715,
               verbose=-1)",0.9675101654099719,0.0,0.0,0.0,0.8198898923772455,0.1496291936488765,,0.9686044216344257,0.13333333333333333,0.000628930817610063,0.0012519561815336464,0.8226636841029838,0.15714708961824858,
2,LGB_Tune2,LightGBM,"LGBMClassifier(colsample_bytree=0.7209796070361758, gamma=37.418352977557774,
               learning_rate=0.1801521225224105, max_depth=4,
               min_child_weight=3.2459791996224, n_estimators=160,
               random_state=42, reg_alpha=1.8773668480387184,
               reg_lambda=5.525462702121063, subsample=0.8795742925715252,
               verbose=-1)",0.967194346847736,0.4,0.019441069258809233,0.03707995365005793,0.8323550858786707,0.17132123792633594,12.311543134872416,0.9685353335965259,0.4825210084033613,0.02545886279039918,0.04835844906472181,0.8356707722410256,0.1677126139359471,15.365670053217224
3,LGB_Tune3,LightGBM,"LGBMClassifier(colsample_bytree=0.9516151393578345, gamma=49.80746514822247,
               learning_rate=0.03354754222025174, max_depth=9,
               min_child_weight=2.2646338455187367, n_estimators=101,
               random_state=42, reg_alpha=3.374311363909369,
               reg_lambda=2.7484640675006657, subsample=0.9835975716398615,
               verbose=-1)",0.9675496427302515,1.0,0.001215066828675577,0.002427184466019417,0.8253605686520691,0.1571638690721343,30.77885783718104,0.9686044216344257,0.3,0.000628930817610063,0.001254902732735245,0.8297999796255635,0.16599169983407472,
4,LGB_Tune4,LightGBM,"LGBMClassifier(colsample_bytree=0.6609773444596988, gamma=2.03327221771314,
               learning_rate=0.15035372015512244, max_depth=5,
               min_child_weight=23.224652823084934, n_estimators=61,
               random_state=42, reg_alpha=8.907420274338119,
               reg_lambda=0.33204052459685607, subsample=0.799990727787688,
               verbose=-1)",0.9671548695274564,0.30434782608695654,0.00850546780072904,0.016548463356973995,0.8329782364813155,0.1623952663616648,9.367478472185534,0.9686932491117254,0.5938903743315509,0.012885676767078386,0.025193573935295626,0.8339912263632071,0.16913164783728418,18.91124490513979
5,LGB_Tune5,LightGBM,"LGBMClassifier(colsample_bytree=0.894900333994989, gamma=14.3288515375394,
               learning_rate=0.11684997696303606, max_depth=9,
               min_child_weight=13.673227889165576, n_estimators=183,
               random_state=42, reg_alpha=9.465051788311543,
               reg_lambda=7.014569620039165, subsample=0.6239611856424436,
               verbose=-1)",0.9668785282855,0.3,0.014580801944106925,0.027809965237543453,0.8373796559300396,0.16153909261221877,9.233657351154314,0.968525463876826,0.48251227208976155,0.020428403582042395,0.039166987705850524,0.8370392944867795,0.16814127922637595,15.364650566368137
6,LGB_Tune6,LightGBM,"LGBMClassifier(colsample_bytree=0.8096705729152254, gamma=9.99302692730635,
               learning_rate=0.010742453265466126, max_depth=7,
               min_child_weight=1.8719306732711125, n_estimators=159,
               random_state=42, reg_alpha=0.9246730295965844,
               reg_lambda=9.233960396307538, subsample=0.5416355977662524,
               verbose=-1)",0.9675101654099719,0.0,0.0,0.0,0.8111313269691887,0.14421346875563426,,0.9685945519147257,0.0,0.0,0.0,0.815262751486293,0.14958444075110872,
7,LGB_Tune7,LightGBM,"LGBMClassifier(colsample_bytree=0.8685155164517726, gamma=10.932639005816261,
               learning_rate=0.011248653389733894, max_depth=7,
               min_child_weight=10.226113650954535, n_estimators=223,
               random_state=42, reg_alpha=6.648432463874489,
               reg_lambda=0.5605627499607424, subsample=0.5589555456169157,
               verbose=-1)",0.9675101654099719,0.0,0.0,0.0,0.819365948104133,0.14559867488908101,,0.9686142913541256,0.2,0.000628930817610063,0.0012539184952978055,0.8236703961767986,0.15789225777217641,
8,LGB_Tune8,LightGBM,"LGBMClassifier(colsample_bytree=0.960757737061781, gamma=7.325375529493693,
               learning_rate=0.01728557188933433, max_depth=6,
               min_child_weight=2.178769033331809, n_estimators=143,
               random_state=42, reg_alpha=2.6192567312764514,
               reg_lambda=9.988657496835899, subsample=0.5826453483582761,
               verbose=-1)",0.9675101654099719,0.0,0.0,0.0,0.8184368493457934,0.15119434661657355,,0.9685945519147257,0.0,0.0,0.0,0.8221675245097764,0.15692716620935793,
9,LGB_Tune9,LightGBM,"LGBMClassifier(colsample_bytree=0.9454983490320152, gamma=53.10088517779677,
               learning_rate=0.09973218161167083, max_depth=7,
               min_child_weight=1.5089622650909982, n_estimators=60,
               random_state=42, reg_alpha=0.0034771800024346877,
               reg_lambda=2.1351799427897866, subsample=0.5939388114926489,
               verbose=-1)",0.967194346847736,0.3181818181818182,0.00850546780072904,0.016568047337278104,0.8283156877284199,0.1586126575891439,9.793272948193968,0.9685748124753257,0.5225013290802765,0.010999377980510056,0.02150345659951101,0.8344999744696837,0.16427854036622308,16.639585874264554
